,2010,,,,,,,,,,,2013,,,,,,,,
Country,TB,Malaria ,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria ,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Sum,"49,601,145","81,553,992.71","81,989,587.10",830035.6111,"461,983.03",100912.8024,"2,388,539.47",N/A - no model,"1,728,561.57",,Sum,"49,798,430.00","65,309,700.00","70,925,759.79",751024.7735,"443,434.47",97574.63099,2029995.519,1040301.479,"1,361,353.76"
Afghanistan,"424,662","203,229.00","24,041.45",12940.66993,227.23,213.5335883,0.00,,0.00,,Afghanistan,"448,000.00","113,300.00","6,800.82",14353.46023,248.93,227.3498608,0,0,0.00
Albania,"2,211",3.62,"2,035.05",1.558569169,0,0,0.00,,0.00,,Albania,900.00,0.00,85.12,1.060119418,0,0,0,0,0.00
Algeria,"100,018",9.12,"48,627.20",157.1119406,0.38,1.574885998,"5,615.93",,0.00,,Algeria,"61,900.00",700.00,"4,116.87",143.257289,0.40,1.501929579,5580.508451,0,0.00
American Samoa,,,0.00,0,0,0,0.00,,121.68,,American Samoa,,,108.87,0,0,0,0,0,133.03
Andorra,29,0.06,0.00,0,0,0,0.00,,0.00,,Andorra,0.00,0.00,61.84,0,0,0,0,0,0.00
Angola,"282,554","4,207.70","664,303.09","13,881","5,387.66",672.17,"28,347.68",,"21,679.42",,Angola,"396,600.00","912,400.00","670,361.24",9094.409082,"5,814.55",741.12,27487.79761,6995.377847,"24,122.74"
Anguilla,,,0.00,0,0,0,0.00,,0.00,,Anguilla,,,0.00,0,0,0,0,0,0.00
Antigua and Barbuda,35,0.07,398.28,0.053041643,0.000951657,0,19.50,,0.00,,Antigua and Barbuda,100.00,0.00,387.71,0.046739023,0.000857115,0,20.36703882,0,0.00
Argentina,"35,133",37.79,"90,351.03",203.1106771,733.3239654,1.44,0.00,,0.00,,Argentina,"26,700.00",100.00,"87,981.61",192.6513408,734.8771957,1.42,0,0,0.00
Armenia,"6,662",1.00,"6,542.66",1.215634343,0.084157404,0,0.00,,0.00,,Armenia,"5,900.00",0.00,"1,344.85",1.013514313,0.074911676,0,0,0,0.00
Aruba,,,0.00,0,0,0,0.00,,0.00,,Aruba,,,0.00,0,0,0,0,0,0.00
Australia,"2,281",80.38,"8,155.93",0,0,0,0.00,,0.00,,Australia,"2,100.00",0.00,"5,510.00",0,0,0,0,0,0.00
Austria,"1,806",2.24,"3,843.56",0,0,0,0.00,,0.00,,Austria,"1,500.00",0.00,"3,808.71",0,0,0,0,0,0.00
Azerbaijan,"36,244",12.16,"7,728.93",29.03688956,0.089077618,0,0.00,,0.00,,Azerbaijan,"37,100.00",0.00,"2,480.19",20.39989756,0.093179229,0,0,0,0.00
Bahamas,258,0.50,0.00,0.149592894,0.003708103,0,0.00,,0.00,,Bahamas,,,0.00,0.133570225,0.003578709,0,0,0,0.00
Bahrain,"1,121",0.60,"3,566.45",0,0.008759802,0,0.00,,0.00,,Bahrain,500.00,0.00,813.53,0,0.009702557,0,0,0,0.00
Bangladesh,"1,207,620","191,646.00","11,816.73","57,552","38,272.09","10,803.15",0.00,,"126,079.52",,Bangladesh,"591,800.00","9,500.00","14,896.29",49581.99289,"34,090.78","10,088.99",0.00,0,"23,375.96"
Barbados,79,0.31,"2,047.09",0,0.001952164,0,0.00,,0.00,,Barbados,300.00,0.00,"1,187.49",0,0.00210031,0,0,0,0.00
Belarus,"32,962",25.42,"12,746.90",0,0,0,0.00,,0.00,,Belarus,"28,700.00",0.00,"19,574.13",0,0,0,0,0,0.00
Belgium,"2,795",4.52,"5,265.51",0,0,0,0.00,,0.00,,Belgium,"2,400.00",0.00,"4,579.95",0,0,0,0,0,0.00
Belize,544,106.88,"9,661.12",12.16393171,8.736045253,0.097535722,0.00,,0.00,,Belize,400.00,100.00,"4,251.79",9.798512781,5.223254125,0.070961636,0,0,0.00
Benin,"76,239","987,357.00","150,467.33","3,214",660.138108,0.446316397,"43,694.77",,"8,714.86",,Benin,"87,100.00","605,400.00","147,701.80",2850.96373,702.2019858,0.479917747,37324.87617,452.3884753,"6,871.90"
Bermuda,,,0.00,0,0.001850714,0,0.00,,0.00,,Bermuda,,,386.67,0,0.000833543,0,0,0,0.00
Bhutan,"4,924",785.32,"1,764.96",79.5270733,8.64516557,0.292235873,0.00,,0.00,,Bhutan,"3,400.00",700.00,"1,607.85",48.77220387,8.375458077,0.274605302,0,0,0.00
Bolivia,"65,784","1,609.15","60,819.68",633.1769212,1756.416523,34.52,0.00,,0.00,,Bolivia,"26,500.00",300.00,"27,874.18",490.8838786,1750.938946,34.49,0,0,0.00
"Bonaire, Saint Eustatius and Saba",,,0.00,0,0,0,0.00,,0.00,,"Bonaire, Saint Eustatius and Saba",,,0.00,0,0,0,0,0,0.00
Bosnia and Herzegovina,"5,631",3.59,"2,391.06",0,0,0,0.00,,0.00,,Bosnia and Herzegovina,"4,200.00",0.00,155.42,0,0,0,0,0,0.00
Botswana,"18,662","10,480.60","232,000.80",20.87166338,477.9906819,95.55003057,"2,846.63",,0.00,,Botswana,"51,000.00","9,800.00","368,816.85",17.74287425,478.3781906,96.13072435,3170.690186,0,0.00
Brazil,"270,727","15,091.60","993,330.08","7,233",8169.704034,"2,550.35","125,760.32",,218.14,,Brazil,"238,600.00","16,200.00","750,766.45",6710.295016,7665.101318,"2,464.51",108688.2626,37.93260135,38.30
British Virgin Islands,,,0.00,0,0,0,0.00,,0.00,,British Virgin Islands,,,0.00,0,0,0,0,0,0.00
Brunei Darussalam,611,0.09,216.34,0,0.00,0,0.00,,37.80,,Brunei Darussalam,300.00,0.00,0.00,0.221273595,0,0,0,0,0.00
Bulgaria,"8,694",6.02,"9,668.97",0,0,0,0.00,,0.00,,Bulgaria,"4,800.00",0.00,"2,574.43",0,0,0,0,0,0.00
Burkina Faso,"177,180","3,425,380.00","368,232.28","6,753","1,321.85",0.216311197,"35,396.83",,"32,307.82",,Burkina Faso,"214,700.00","2,142,900.00","238,891.21",6536.572267,"1,361.14",0.22,16487.16853,0,"19,178.41"
Burundi,"374,071","1,014,600.00","553,394.08",3166.150393,3822.887162,183.32,"20,327.81",,0.00,,Burundi,"324,700.00","934,300.00","239,226.84",3457.255893,"3,693.67",174.13,16118.16906,11736.65714,0.00
Cambodia,"181,934","108,689.00","82,054.13",418.015568,193.0358676,0,"12,310.55",,454.22,,Cambodia,"132,200.00","64,100.00","94,302.55",235.4414736,67.63788769,0,7697.903449,0,830.38
Cameroon,"165,351","1,776,360.00","1,548,028.75","28,368","4,496.09","2,018.99","56,096.64",,"30,613.69",,Cameroon,"203,500.00","1,553,300.00","1,564,332.54",25076.79725,"3,781.27","1,691.95",40124.59719,82414.12962,"26,638.81"
Canada,"4,034",115.87,"32,963.31",0,0,0,0.00,,0.00,,Canada,"3,400.00",0.00,"22,003.00",0,0,0,0,0,0.00
Cape Verde,"1,567","3,119.09","5,962.26",0.63868755,0.999234,0.002127015,0.00,,0.00,,Cape Verde,"1,800.00",0.00,"7,015.23",0.447135237,0.876496301,0.001846283,0,0,0.00
Cayman Islands,,,0.00,0,0,0.00,0.00,,0.00,,Cayman Islands,,,0.00,0,0,0,0,0,0.00
Central African Republic,"143,960","512,419.00","488,382.99","6,696",2210.686316,39.11102625,"4,638.14",,"9,351.99",,Central African Republic,"162,100.00","277,500.00","479,639.25",6166.428387,"2,296.90",40.10,4207.723756,22333.46105,"9,792.48"
Chad,"184,497","941,398.00","482,579.84","6,257",4191.143301,0.22,"25,886.26",,"12,226.84",,Chad,"237,500.00","806,900.00","628,278.39",5981.618807,"4,689.68",0.24,28653.82246,12650.0865,"13,639.77"
Chile,"14,690",5.02,"31,277.63",318.1461119,0.163379618,11.89118386,0.00,,0.00,,Chile,"14,300.00",0.00,"26,363.84",314.5302384,0.12,11.43692673,0,0,0.00
China,"1,732,860","11,717.30","1,751,701.14",9505.753354,"34,728.69","2,068.43","48,561.28",,0.00,,China,"1,790,700.00","11,700.00","1,084,213.09",7414.468607,"30,865.03","1,915.42","34,174.36",0,0.00
"China, Hong Kong SAR",,,0.00,0,0,0,0.00,,0.00,,"China, Hong Kong SAR",,,0.00,0,0,0,0,0,0.00
"China, Macao SAR",,,0.00,0,0,0,0.00,,0.00,,"China, Macao SAR",,,0.00,0,0,0,0,0,0.00
Colombia,"51,305","4,189.72","479,459.81",6238.627484,"5,780.50","1,850.17",0.00,,0.00,,Colombia,"49,100.00","31,700.00","129,114.73",5930.989703,"5,185.68","1,797.85",0.00,0,0.00
Comoros,"10,215.3","34,835.70",14.26,161,201.38,163.46,0.00,,"1,067.22",,Comoros,"14,600.00","14,800.00","1,257.19",135.0705417,212.4497198,171.6467891,0,0,"1,104.53"
Congo,"57,707","291,255.00","244,565.50","2,189",1195.767888,652.1417452,"10,593.68",,"7,843.01",,Congo,"51,900.00","142,700.00","249,352.51",2036.998162,"1,282.76",713.96,9736.932253,1682.842112,"5,072.92"
Cook Islands,,,0.00,0,0,0,0.00,,0.00,,Cook Islands,,,0.00,0,0,0,0,0,0.00
Costa Rica,"2,497",2.92,"8,818.84",191.8261096,313.8170985,24.41444908,0.00,,0.00,,Costa Rica,"2,100.00",0.00,"8,148.67",178.4033733,316.0112332,23.30486871,0,0,0.00
Côte d'Ivoire,"260,347","2,301,580.00","1,200,273.54","8,394",6287.898382,307.09,"81,732.88",,"29,017.49",,Côte d'Ivoire,"276,800.00","1,332,700.00",0.00,10384.93856,6528.544816,326.0039956,74900.14605,0,"31,338.80"
Croatia,"3,537",3.51,977.07,0,0,0,0.00,,0.00,,Croatia,"2,300.00",0.00,339.83,0,0,0,0,0,0.00
Cuba,"3,287",8.48,"21,117.20",615.3558149,906.0998497,24.32082786,0.00,,0.00,,Cuba,"1,700.00",0.00,"18,930.69",595.794287,891.2059234,23.21,0,0,0.00
CuraÃ§ao,,,0.00,0,0,0,0.00,,0.00,,CuraÃ§ao,,,0.00,0,0,0,0,0,0.00
Cyprus,121,0.35,587.52,0,0,0.00,0.00,,0.00,,Cyprus,100.00,0.00,299.22,0,0,0,0,0,0.00
Czech Republic,"2,796",9.36,982.03,0,0,0,0.00,,0.00,,Czech Republic,"1,900.00",0.00,830.80,0,0,0,0,0,0.00
Democratic People's Republic of Korea,"173,864",31.99,"9,291.26",824.0167369,0.31,0.000301158,0.00,,0.00,,Democratic People's Republic of Korea,"119,900.00",100.00,0.00,674.0298383,0.310341105,0.000234991,0,0,0.00
Democratic Republic of the Congo,"1,754,630","8,244,140.00","2,734,090.23","70,453","21,890.34","3,999.05","180,088.94",,"23,384.44",,Democratic Republic of the Congo,"1,591,100.00","3,552,400.00","1,842,805.51",72147.5593,23991.52078,4424.014323,186238.4134,494002.172,"24,649.20"
Denmark,"1,032",1.70,"2,848.64",0,0,0.00,0.00,,0.00,,Denmark,900.00,0.00,"1,979.52",0,0,0,0,0,0.00
Djibouti,"11,211","12,312.80","53,315.59",54.31060751,45.99245149,62.85519993,414.08,,0.00,,Djibouti,"14,700.00","27,800.00","45,517.15",43.50076017,40.94000258,62.83940004,387.3948644,0,0.00
Dominica,78,0.06,363.23,0.132548697,0.010817666,0,0.00,,0.00,,Dominica,100.00,0.00,285.22,0.121044597,0.007793075,0,0,0,0.00
Dominican Republic,"20,861",751.81,"99,618.31",24,0.188227799,0,"1,264.22",,409.81,,Dominican Republic,"18,000.00","1,000.00","222,676.45",20.99003659,0.157239662,0,1286.763055,0,204.79
Ecuador,"37,794","1,660.47","82,083.07",2328.776263,372.67,1516.623008,0.00,,0.00,,Ecuador,"40,600.00","2,100.00","46,165.94",2128.620335,290.35,1457.380991,0.00,3.37E-48,0.00
Egypt,"83,147",20.95,"20,930.84",431,"1,662.96",1.20,"149,394.87",,516.64,,Egypt,"37,000.00",500.00,"6,396.17",407.2946309,"1,676.23",1.22,58360.65071,0,527.44
El Salvador,"5,038",6.96,"30,221.68",55.60502718,313.9377325,12.61,0.00,,0.00,,El Salvador,"3,700.00",0.00,"8,998.80",38.43507838,173.5682432,7.96,0,0,0.00
Equatorial Guinea,"6,352","56,109.00","65,337.20",448,161.95,120.33,557.02,,"1,121.40",,Equatorial Guinea,"11,300.00","51,100.00","74,776.65",383.2899708,168.0470283,129.8371471,579.2278851,1472.145416,"1,173.89"
Eritrea,"114,905","208,190.00","92,497.79",673,112.9054272,34.04097298,"4,339.34",,165.94,,Eritrea,"130,100.00","133,000.00","63,552.79",578.0772037,111.5184331,36.85881767,4191.410679,0,181.87
Estonia,"1,797",4.33,"13,431.33",0.022111103,0,0,0.00,,0.00,,Estonia,"1,600.00",0.00,"2,268.19",0.012023809,0,0,0,0,0.00
Ethiopia,"1,754,220","2,609,710.00","1,317,544.95","29,161","14,732.71","4,618.16","220,079.40",,"1,086.30",,Ethiopia,"1,897,900.00","1,524,400.00","1,596,299.27",20519.08227,"14,749.02","4,858.74","213,435.89",28397.40578,"1,138.88"
Fiji,"1,892",27.30,"1,127.68",123,253.4696622,20.39368393,0.00,,"1,215.90",,Fiji,"1,400.00",0.00,540.71,118.3297081,246.8653997,20.53505575,0,0,281.83
Finland,"1,475",1.69,"1,224.48",0,0,0.00,0.00,,0.00,,Finland,"1,200.00",0.00,459.32,0,0,0,0,0,0.00
France,"20,140",18.00,"48,908.14",0,0,0,12.86,,0.00,,France,"18,600.00",0.00,"23,698.16",0,0,0,0,0,0.00
French Polynesia,,,0.00,0,0.00,0.00,0.00,,0.00,,French Polynesia,,,0.00,0,0,0,0,0,0.00
Gabon,"14,464","78,300.70","117,337.90",713,363.5472704,302.1405787,"3,066.48",,"1,205.01",,Gabon,"23,900.00","65,400.00","85,440.91",641.5904766,377.796709,317.4006879,3151.396159,0,"1,323.60"
Gambia,"15,475","77,000.00","46,858.82",160,103.459765,0.179177578,"5,378.47",,"2,142.64",,Gambia,,,0.00,131.4277477,109.8489063,0.197671879,5809.869909,0,"2,217.08"
Georgia,"13,818",5.70,"5,819.66",0.004199053,0.04,0.00,0.00,,0.00,,Georgia,"9,800.00",0.00,"2,229.11",0,0,0,0,0,0.00
Germany,"14,917",27.25,"29,224.36",0,0,0,0.00,,0.00,,Germany,"11,700.00",0.00,"30,404.56",0,0,0,0,0,0.00
Ghana,"154,629","1,548,960.00","886,553.78","2,896",1243.119034,2.922644844,"50,239.32",,"21,374.72",,Ghana,"143,900.00","1,215,800.00","911,423.57",2409.603532,"1,285.39",3.13,40730.07032,1.32E-46,"8,634.38"
Greece,"2,564",4.30,"26,674.08",0,0,0,0.00,,0.00,,Greece,"3,400.00",0.00,"2,626.97",0,0,0,0,0,0.00
Greenland,64,,85.58,0,0,0,0.00,,0.00,,Greenland,"54,230.00",,77.26,0,0,0,0,0,0.00
Grenada,90,0.09,563.80,1.260601389,15.43119073,0.02,0.00,,0.00,,Grenada,100.00,0.00,392.36,1.19634065,14.50459739,0.019810086,0,0,0.00
Guam,,,0.00,0.881588456,0.020101018,0,0.00,,0.00,,Guam,,,252.68,0.832189802,0.017717654,0,0,0,0.00
Guatemala,"48,853","2,860.28","93,800.38",2141.968267,"6,243.79","1,195.70",0.00,,0.00,,Guatemala,"18,700.00","5,400.00","33,595.72",1710.99881,4858.53678,1039.286021,0,1.65E-46,0.00
Guinea,"133,856","1,455,480.00","202,797.91","12,001",4138.202868,104.24,"32,894.73",,"11,755.47",,Guinea,"145,000.00","1,168,500.00","277,760.27",10673.8564,"4,376.40",112.69,33682.11963,0,"12,507.32"
Guinea-Bissau,"26,858","261,426.00","40,326.78","1,341",352.1037102,1.511350993,"4,383.07",,"3,323.93",,Guinea-Bissau,"30,200.00","293,300.00","117,223.54",966.9087796,266.9400325,1.232105063,4281.102328,0,"3,439.97"
Guyana,"3,352",676.83,"20,299.35",36,23.32014421,4.248550137,0.00,,"1,570.13",,Guyana,"1,700.00",500.00,"11,542.90",28.74838708,20.45060509,3.625844832,0,0,"1,514.15"
Haiti,"182,214","45,104.60","113,862.81","1,250",213.14,11.33125779,0.00,,"32,396.97",,Haiti,"81,100.00","21,100.00","443,749.22",861.8986692,163.8768051,8.510399428,0,0,"28,274.51"
Honduras,"15,567","1,109.86","70,453.58",932.7505557,255.66,916.08,0.00,,0.00,,Honduras,"7,300.00","3,100.00","20,363.55",839.2345059,238.75,859.8021191,0.00,0,0.00
Hungary,"7,416",7.93,"7,907.77",0,0,0,0.00,,0.00,,Hungary,"3,900.00",0.00,"1,347.84",0,0,0,0,0,0.00
Iceland,56,0.10,385.09,0,0,0,0.00,,0.00,,Iceland,0.00,0.00,96.55,0,0,0,0,0,0.00
India,"15,546,900","2,562,790.00","9,265,136.14","120,209","99,815.25","9,750.03",0.00,,"410,851.80",,India,"20,452,300.00","5,569,000.00","6,224,163.71",106932.8133,97428.91665,9758.133386,0,0,"293,414.46"
Indonesia,"5,843,680","754,550.00","650,612.47","29,753","11,341.64","1,605.43",673.28,,"248,934.97",,Indonesia,"3,338,600.00","188,000.00","465,568.08",23960.85297,"11,551.38","1,540.55",474.92,0,"189,507.29"
Iran,"60,519",290.87,"114,605.33",143.1623696,126.86,0.001506948,270.18,,0.00,,Iran,"45,400.00",800.00,"20,255.36",130.2348388,120.4383271,0.001481395,263.8388573,0,0.00
Iraq,"61,339",46.80,461.89,75.20052396,1.36,0.01,"4,938.40",,0.00,,Iraq,"46,200.00",100.00,"12,291.55",69.43173015,1.40,0.015186979,5287.524591,0,0.00
Ireland,"1,063",1.74,"1,721.95",0,0,0.00,0.00,,0.00,,Ireland,900.00,0.00,935.82,0,0,0,0,0,0.00
Israel,"1,184",3.35,"3,246.13",0,0,0,0.00,,0.00,,Israel,900.00,0.00,"2,860.66",0,0,0,0,0,0.00
Italy,"12,100",15.02,"55,268.90",0,0,0,0.00,,0.00,,Italy,"10,200.00",0.00,"48,140.84",0,0,0,0,0,0.00
Jamaica,814,2.32,"57,496.15",410.7464507,148.1510617,154.6013459,0.00,,0.00,,Jamaica,"1,300.00",0.00,"7,739.07",382.754547,133.3467087,133.0007155,0,0,0.00
Japan,"96,563",9.94,"6,731.32",0,0.00,0.00,52.42,,0.00,,Japan,"58,500.00",0.00,"9,460.15",0,0,0,0,0,0.00
Jordan,"2,558",1.85,"1,269.46",322.0785372,75.69357641,4.475095804,185.53,,0.00,,Jordan,"1,000.00",0.00,373.07,348.2482381,80.73876288,4.644247694,193.1660845,0,0.00
Kazakhstan,"129,006",4.84,"33,760.68",1344.504716,0.22,0,0.00,,0.00,,Kazakhstan,"118,500.00",0.00,"17,704.66",1443.635475,0.22,0,0,0,0.00
Kenya,"494,163","1,600,800.00","3,000,991.03","3,129",2588.718329,148.19,"63,380.62",,778.43,,Kenya,"789,600.00","658,800.00","2,906,561.48",2712.178044,"2,643.49",156.49,65086.18694,0,924.28
Kiribati,"1,194",2.79,196.03,1,9.682613602,0.801489737,0.00,,0.00,,Kiribati,700.00,,27.76,0.786839337,8.88850066,0.794156097,0,0,0.00
Kuwait,"2,795",2.72,"2,745.53",0,0,0,0.00,,0.00,,Kuwait,"1,300.00",0.00,278.12,0,0,0,0,0,0.00
Kyrgyzstan,"36,449",9.30,"38,870.40",637.8226917,0.064986373,0,0.00,,0.00,,Kyrgyzstan,"30,100.00",0.00,"13,558.59",669.8216816,0.072569168,0,0,0,0.00
Lao People's Democratic Republic,"85,174","40,270.10","13,863.14","5,461",764.6576146,447.7950516,"2,469.84",,276.75,,Lao People's Democratic Republic,"61,400.00","8,300.00",0.00,4395.803553,683.428275,409.7013449,1464.684107,0,228.14
Latvia,"4,608",6.48,"18,655.29",0.079445482,0,0,0.00,,0.00,,Latvia,"2,900.00",0.00,"6,217.89",0.047082002,0,0,0,0,0.00
Lebanon,"3,456",1.06,"8,523.74",0.384122496,0.034246196,0,1.21,,0.00,,Lebanon,"1,400.00",0.00,"1,684.23",0.341862658,0.036588706,0,1.274236213,0,0.00
Lesotho,"93,970",10.36,"680,409.75",200.9844172,498.3839832,970.6069282,0.00,,0.00,,Lesotho,"172,100.00",0.00,"618,564.69",172.3612331,486.644591,954.31,0,0,0.00
Liberia,"94,920","540,045.00","116,742.79","2,384",1793.120822,128.4674823,"12,686.83",,"12,070.71",,Liberia,"59,200.00","242,600.00","122,584.29",2147.243364,1881.259353,138.80,12562.41132,47219.87443,"10,241.55"
Libya,"7,940",1.78,"7,215.40",16.70787138,0.078380969,1.6105664,"7,596.24",,0.00,,Libya,"3,000.00",0.00,"2,502.09",13.52452343,0.058132263,1.47015059,7257.782979,0,0.00
Lithuania,"10,655",6.80,"3,537.85",0.120913318,0,0,0.00,,0.00,,Lithuania,"7,900.00",0.00,"2,924.93",0.082406928,0,0,0,0,0.00
Luxembourg,90,1.27,332.90,0,0.00,0.00,0.00,,0.00,,Luxembourg,100.00,0.00,204.88,0,0,0,0,0,0.00
Madagascar,"180,999","787,324.00","202,962.27","26,982","3,344.83","6,803.09","39,064.34",,"24,192.62",,Madagascar,"187,600.00","372,200.00","124,421.85",24152.13626,2720.005318,5679.597671,36195.90865,0,"23,851.61"
Malawi,"271,772","1,146,980.00","2,631,089.16","3,061",1095.58121,9.35203974,"33,590.26",,"22,763.33",,Malawi,"377,300.00","418,500.00","2,267,245.23",2483.642024,915.40,7.79,23525.60883,4813.478529,"21,443.87"
Malaysia,"61,133","16,741.70","235,735.32","7,033","5,389.45",767.99,0.00,,113.74,,Malaysia,"63,200.00","13,900.00","83,925.14",6860.877838,"5,388.84",690.25,0.00,0,102.23
Maldives,448,2.56,102.02,0.105334503,0.003525756,0,0.00,,0.00,,Maldives,300.00,0.00,41.31,0.074061581,0.003477636,0,0,0,22.26
Mali,"179,698","3,225,830.00","333,827.16","3,184",2376.887278,0.12,"34,798.01",,"37,387.63",,Mali,"142,500.00","2,963,600.00","269,479.56",2635.46544,"2,026.19",0.10,20615.4401,0,"34,901.77"
Malta,85,0.13,142.58,0,0,0,0.00,,0.00,,Malta,0.00,0.00,129.78,0,0,0,0,0,0.00
Marshall Islands,573,1.99,0.00,1.428319691,22.98372231,0.365605957,0.00,,0.00,,Marshall Islands,200.00,0.00,100.50,1.219043727,23.24269622,0.37523649,0,0,15.89
Mauritania,"34,759","108,355.00","52,504.73",114.1847808,97.14,2.39,"6,803.15",,83.40,,Mauritania,"33,700.00","132,800.00","31,170.37",91.68631181,102.0800401,2.497283642,6664.086336,0,93.17
Mauritius,539,9.83,"23,976.07",0.575718273,0.01,0.00,"1,152.40",,0.00,,Mauritius,600.00,0.00,"4,801.91",0.422782352,0.008904178,0,1196.796069,0,0.00
Mexico,"130,755",113.41,"253,760.01",5390.868746,26.95,6442.944467,0.00,,0.00,,Mexico,"99,000.00",100.00,"281,492.17",5005.668454,22.56,6247.482377,0,5.26E-47,0.00
Micronesia (Federated States of),785,4.14,0.00,23,10.84327969,0.422888554,0.00,,25.07,,Micronesia (Federated States of),,,0.00,21.13220828,9.283312183,0.402288897,0,0,53.14
Monaco,,,0.00,0,0,0,0.00,,0.00,,Monaco,,,0.00,0,0,0,0,0,0.00
Mongolia,"25,608",0.96,"1,066.07",0,0.044386703,0,0.00,,0.00,,Mongolia,"25,900.00",0.00,158.42,0,0.045977455,0,0,0,0.00
Montenegro,295,0.53,93.67,0.158742939,0,0,0.00,,0.00,,Montenegro,200.00,0.00,54.22,0.108213615,0,0,0,0,0.00
Montserrat,,,0.00,0,0,0,0.00,,0.00,,Montserrat,,,0.00,0,0,0,0,0,0.00
Morocco,"218,892",8.93,"77,078.49",433.4294395,0.29,64.47330557,"2,864.39",,0.00,,Morocco,"102,300.00",400.00,"20,543.24",400.1494898,0.336821385,64.31295889,2969.813972,0,0.00
Mozambique,"540,212","3,360,590.00","3,853,078.93","19,064",8255.434053,"8,104.03","25,749.72",,"44,335.17",,Mozambique,"589,300.00","2,751,600.00","4,837,317.92",15046.14936,"8,847.05","8,807.73","22,857.61",0,"41,955.20"
Myanmar,"1,122,430","1,225,710.00","1,098,668.52","7,745",806.53,"3,786.04",0.00,,"73,183.63",,Myanmar,"851,600.00","553,700.00","453,127.51",4956.920608,490.17,"2,553.17",0.00,0,"57,462.83"
Namibia,"42,917","24,977.40","260,588.37",18.10367195,478.5596293,5.75,"1,522.84",,0.00,,Namibia,"98,900.00","16,700.00","288,492.94",14.05143999,482.7021576,6.03,1658.962153,0,0.00
Nauru,,,0.00,0,0,0,0.00,,0.00,,Nauru,,,0.00,0,0,0,0,0,0.00
Nepal,"359,659","30,423.00","217,743.66","2,940","12,245.97","1,639.81",0.00,,"30,099.50",,Nepal,"271,600.00","23,800.00","84,262.78",2465.359592,11032.83892,1543.179032,0,0,"23,589.68"
Netherlands,"3,059",5.52,"5,205.16",0,0,0,0.00,,0.00,,Netherlands,"2,400.00",0.00,"4,219.40",0,0,0,0,0,0.00
New Caledonia,,,0.00,0,0,0,0.00,,0.00,,New Caledonia,,,0.00,0,0,0,0,0,0.00
New Zealand,656,20.38,910.06,0,0,0,0.00,,0.00,,New Zealand,500.00,0.00,845.93,0,0,0,0,0,0.00
Nicaragua,"14,091","1,712.03","4,338.15",196.8222931,11.05155854,40.46398123,0.00,,0.00,,Nicaragua,"7,100.00",700.00,"4,149.68",147.151032,6.162310653,27.30808511,0,0,0.00
Niger,"277,628","2,053,540.00","181,019.31","4,012",530.2423001,0.004127479,"22,823.28",,"11,209.69",,Niger,"236,900.00","2,127,500.00","210,827.38",3710.493083,478.37,0.003564789,14345.74757,0,"9,881.31"
Nigeria,"1,936,960","25,052,500.00","9,011,591.94","155,150","19,915.90",453.20,"367,922.87",,"242,127.33",,Nigeria,"1,767,700.00","22,078,400.00","10,257,695.95",152225.709,"20,372.71",485.40,338691.2258,183163.9363,"257,452.30"
Niue,,,0.00,0,0,0,0.00,,0.00,,Niue,,,0.00,0,0,0,0,0,0.00
Northern Mariana Islands,,,0.00,0,0.027794881,0,0.00,,0.00,,Northern Mariana Islands,,,212.16,0,0.017736587,0,0,0,0.00
Norway,796,2.07,"1,232.36",0,0,0,0.00,,0.00,,Norway,800.00,0.00,835.85,0,0,0,0,0,0.00
Oman,"2,517",2.40,991.88,1.13502098,0.04,0.00,71.80,,0.00,,Oman,"1,400.00",0.00,"1,044.79",1.122133196,0.03842368,0.000133267,98.30628945,0,0.00
Pakistan,"2,452,820","214,312.00","202,141.18",17918.63009,"1,416.22",28.09287039,0.00,,0.00,,Pakistan,"1,615,600.00","204,300.00","82,061.03",17502.19132,1432.455782,28.87,0,0,0.00
